Wall time,Step,Value
1776153178.6187382,18,0.0
1776153230.7577248,24,0.0
1776153368.8721836,40,0.0
1776153386.1201847,42,0.0
1776153411.9905837,45,0.0
1776153506.9699583,56,0.0
1776153636.4661722,71,0.0
1776153662.3219016,74,0.0
1776153835.3845935,94,0.0
1776153904.303788,102,0.0
1776153938.9437144,106,0.0
1776154112.0920146,126,0.0
1776154363.8628726,155,0.0
1776154389.9100995,158,0.0
1776154468.2039318,167,0.0
1776154563.6598969,178,0.0
1776154607.2014618,183,0.0
1776154624.5667613,185,0.0
1776154668.0384257,190,0.0
1776155009.0759728,229,0.0347391776740551
1776155052.9959145,234,0.06488037109375
1776155184.5581841,249,0.1390787810087204
1776155237.115411,255,0.162322998046875
1776155280.941183,260,0.1787923276424408
1776155342.317139,267,0.1975199431180954
1776155394.8323615,273,0.2120361328125
1776155561.7031262,292,0.254608154296875
1776155701.9001324,308,0.278900146484375
1776155719.3952017,310,0.283355712890625
1776155789.5763016,318,0.304595947265625
1776155894.3183203,330,0.3192545771598816
1776155972.7738411,339,0.3239644467830658
1776156042.6524494,347,0.3292236328125
1776156181.7316775,363,0.3422139585018158
1776156216.5152798,367,0.3415324091911316
1776156587.6515877,421,0.3761800229549408
1776156590.522532,422,0.3771159052848816
1776156639.5045788,439,0.3825276792049408
1776156648.129983,442,0.3876241147518158
1776156656.7461796,445,0.393157958984375
1776156699.8715842,460,0.394256591796875
1776156708.4894803,463,0.3972269892692566
1776156711.3570511,464,0.3990071713924408
1776156740.0945551,474,0.4052225947380066
1776156788.9749117,491,0.4044596552848816
1776156794.720538,493,0.4050700068473816
1776156855.1880467,514,0.4108785092830658
1776156903.9872534,531,0.415863037109375
1776156918.3766344,536,0.4245707392692566
1776156995.856117,563,0.4409281611442566
1776157024.6058612,573,0.4416605830192566
1776157041.7769313,579,0.444488525390625
1776157061.88964,586,0.4511820673942566
1776157064.7515185,587,0.4523518979549408
1776157107.7823653,602,0.463958740234375
1776157159.3632562,620,0.4642130732536316
1776157165.1049354,622,0.46435546875
1776157199.3719308,634,0.4662679135799408
1776157219.4344704,641,0.4759419858455658
1776157222.2823353,642,0.4739278256893158
1776157227.9787362,644,0.473114013671875
1776157236.5920272,647,0.478790283203125
1776157242.2977917,649,0.4786580502986908
1776157276.722271,661,0.49151611328125
1776157305.3366165,671,0.49505615234375
1776157353.9727821,688,0.4864909052848816
1776157428.3730605,714,0.4922282099723816
1776157439.7992444,718,0.496795654296875
1776157451.2618914,722,0.49517822265625
1776157474.267487,730,0.492462158203125
1776157500.0222542,739,0.50433349609375
1776157511.437117,743,0.503509521484375
1776157537.2015245,752,0.512115478515625
1776157548.5905879,756,0.5102335810661316
1776157574.3818552,765,0.5102437734603882
1776157585.8429117,769,0.5064290761947632
1776157591.5427873,771,0.5069478750228882
1776157597.3080235,773,0.5083720088005066
1776157617.3157895,780,0.5078532099723816
1776157631.6787026,785,0.514739990234375
1776157637.3793013,787,0.516876220703125
1776157651.716663,792,0.511932373046875
1776157657.4359667,794,0.5124105215072632
1776157668.876651,798,0.5079244375228882
1776157680.3779833,802,0.512847900390625
1776157697.459009,808,0.5162557363510132
1776157700.3169801,809,0.5172831416130066
1776157766.214965,832,0.508331298828125
1776157777.6731994,836,0.5107320547103882
1776157872.2034123,869,0.5309346914291382
1776157892.2250485,876,0.53045654296875
1776157909.3971894,882,0.52813720703125
1776157949.4487307,896,0.524383544921875
1776157960.9666796,900,0.5282186269760132
1776157981.0321047,907,0.5351969599723816
1776157986.7759943,909,0.5378519892692566
1776158003.8698862,915,0.5419108271598816
1776158009.599026,917,0.5467936396598816
1776158049.7347283,931,0.554534912109375
1776158052.5919104,932,0.5560302734375
1776158081.2343438,942,0.564788818359375
1776158089.7675703,945,0.562835693359375
1776158115.5034688,954,0.557098388671875
1776158126.9338512,958,0.55218505859375
1776158138.412022,962,0.5537313222885132
1776158164.1740258,971,0.5513102412223816
1776158167.0439978,972,0.5506083369255066
1776158184.285186,978,0.551849365234375
1776158187.1356657,979,0.5522868037223816
1776158201.5226595,984,0.5482991933822632
1776158253.0838165,1002,0.560455322265625
1776158261.6816013,1005,0.56683349609375
1776158287.3967054,1014,0.5626322627067566
1776158373.2317789,1044,0.5778300166130066
1776158410.2709699,1057,0.566192626953125
1776158427.625747,1063,0.5622152090072632
1776158436.1615157,1066,0.559112548828125
1776158441.8773484,1068,0.5595194697380066
1776158453.3789444,1072,0.5607401728630066
1776158470.5248377,1078,0.55853271484375
1776158484.8287172,1083,0.557373046875
1776158513.370112,1093,0.5656026601791382
1776158530.5961092,1099,0.5621236562728882
1776158544.9059029,1104,0.561065673828125
1776158573.4357123,1114,0.559844970703125
1776158587.7518115,1119,0.5599874258041382
1776158693.7460098,1156,0.579345703125
1776158705.1898637,1160,0.5813802480697632
1776158708.0466852,1161,0.582275390625
1776158710.9003043,1162,0.58544921875
