Wall time,Step,Value
1776153178.6289513,18,16.190000534057617
1776153230.768046,24,14.420000076293945
1776153368.8825715,40,14.010000228881836
1776153386.130034,42,14.279999732971191
1776153412.0009716,45,13.329999923706055
1776153506.9803112,56,13.369999885559082
1776153636.4765024,71,13.770000457763672
1776153662.3320787,74,13.789999961853027
1776153835.3865418,94,15.199999809265137
1776153904.3140619,102,16.079999923706055
1776153938.953524,106,16.760000228881836
1776154112.1006687,126,21.81999969482422
1776154363.8644605,155,39.900001525878906
1776154389.9177992,158,41.5099983215332
1776154468.2146926,167,48.25
1776154563.6700478,178,61.38999938964844
1776154607.2100933,183,75.7300033569336
1776154624.5771515,185,76.77999877929688
1776154668.048806,190,90.97000122070312
1776155009.0869546,229,271.07000732421875
1776155053.0062716,234,335.0400085449219
1776155184.568553,249,338.69000244140625
1776155237.1230347,255,410.0199890136719
1776155280.9493973,260,384.2200012207031
1776155342.3266692,267,412.4700012207031
1776155394.8426402,273,388.6400146484375
1776155561.712959,292,424.8999938964844
1776155701.9104762,308,475.45001220703125
1776155719.4051743,310,435.54998779296875
1776155789.58408,318,499.29998779296875
1776155894.3200688,330,464.6499938964844
1776155972.7843144,339,515.1799926757812
1776156042.662699,347,498.25
1776156181.742212,363,551.9299926757812
1776156216.5256763,367,541.47998046875
1776156587.652963,421,580.3900146484375
1776156590.5239513,422,604.22998046875
1776156639.5059803,439,602.0900268554688
1776156648.1313508,442,641.5999755859375
1776156656.747578,445,570.52001953125
1776156699.872962,460,529.9199829101562
1776156708.4908726,463,624.2899780273438
1776156711.3586807,464,583.1099853515625
1776156740.0959446,474,592.8400268554688
1776156788.9762928,491,623.030029296875
1776156794.7219093,493,643.2100219726562
1776156855.189422,514,592.6599731445312
1776156903.9886215,531,651.1099853515625
1776156918.3780298,536,533.530029296875
1776156995.8574893,563,648.1599731445312
1776157024.6072488,573,640.1900024414062
1776157041.7783165,579,620.8200073242188
1776157061.8910348,586,620.4500122070312
1776157064.7528973,587,614.239990234375
1776157107.7837524,602,636.9600219726562
1776157159.3646488,620,705.260009765625
1776157165.106302,622,669.6799926757812
1776157199.373291,634,665.2899780273438
1776157219.4358673,641,675.27001953125
1776157222.283711,642,650.0
1776157227.9801106,644,684.5999755859375
1776157236.593562,647,656.8599853515625
1776157242.299146,649,725.77001953125
1776157276.7236407,661,658.1300048828125
1776157305.3380027,671,670.75
1776157353.9741418,688,735.3800048828125
1776157428.3744485,714,679.0800170898438
1776157439.8006113,718,756.0700073242188
1776157451.2632747,722,710.9400024414062
1776157474.2688563,730,711.4000244140625
1776157500.0238833,739,783.8499755859375
1776157511.4384966,743,740.1099853515625
1776157537.2029014,752,682.989990234375
1776157548.5921903,756,747.760009765625
1776157574.3832192,765,772.0800170898438
1776157585.8442836,769,748.1599731445312
1776157591.544397,771,777.5399780273438
1776157597.3094063,773,701.0399780273438
1776157617.317167,780,772.75
1776157631.6800935,785,767.0599975585938
1776157637.3806877,787,692.22998046875
1776157651.7180417,792,697.1400146484375
1776157657.4373255,794,697.7100219726562
1776157668.8780406,798,709.5999755859375
1776157680.379362,802,727.6799926757812
1776157697.4603696,808,678.9500122070312
1776157700.3183544,809,758.02001953125
1776157766.2163494,832,704.3200073242188
1776157777.6746502,836,736.1199951171875
1776157872.2047937,869,723.8300170898438
1776157892.226414,876,667.2000122070312
1776157909.398784,882,668.3699951171875
1776157949.4502432,896,761.969970703125
1776157960.9680743,900,773.7100219726562
1776157981.0335057,907,797.1500244140625
1776157986.7773788,909,769.1300048828125
1776158003.8712459,915,697.719970703125
1776158009.6004152,917,766.1500244140625
1776158049.7361076,931,727.3300170898438
1776158052.5932786,932,774.6400146484375
1776158081.235695,942,777.3499755859375
1776158089.7689536,945,777.4500122070312
1776158115.5048573,954,680.4400024414062
1776158126.9352262,958,785.0
1776158138.4134054,962,730.989990234375
1776158164.1754136,971,781.739990234375
1776158167.0453804,972,753.1400146484375
