Wall time,Step,Value
1776858442.69755,18,14.350000381469727
1776858508.2936711,47,13.239999771118164
1776858542.1725547,62,13.960000038146973
1776858544.4204314,63,14.130000114440918
1776858603.64136,89,14.020000457763672
1776858637.6010234,103,15.479999542236328
1776858650.1483772,107,15.140000343322754
1776858721.9371607,128,17.559999465942383
1776858804.7014704,164,23.90999984741211
1776858824.146613,172,24.579999923706055
1776858907.956327,191,25.84000015258789
1776858935.3155856,203,26.31999969482422
1776859028.8892977,244,35.38999938964844
1776859063.1124947,259,35.02000045776367
1776859115.4437168,282,42.43000030517578
1776859122.2743359,285,41.060001373291016
1776859199.794353,319,43.13999938964844
1776859306.686281,366,48.41999816894531
1776859351.830678,386,46.880001068115234
1776859388.2746909,402,51.45000076293945
1776859417.8091593,415,49.79999923706055
1776859467.7026472,437,53.09000015258789
1776859531.399596,465,55.08000183105469
1776859553.9848862,475,54.189998626708984
1776859567.585173,481,53.040000915527344
1776859633.4330592,510,54.15999984741211
1776859685.5951753,533,54.4900016784668
1776859696.949883,538,55.36000061035156
1776859701.4888203,540,55.470001220703125
1776859737.8497784,556,56.779998779296875
1776859751.3666213,562,57.400001525878906
1776859824.0376842,594,58.06999969482422
1776859828.5779333,596,57.7599983215332
1776859921.739128,637,57.34000015258789
1776859935.3293092,643,63.04999923706055
1776859937.581661,644,59.0099983215332
1776859968.9949665,658,62.20000076293945
1776860007.4770212,675,60.25
1776860110.8771784,721,64.55000305175781
1776860207.4900289,764,62.90999984741211
1776860232.1052065,775,61.7599983215332
1776860297.1518435,804,62.88999938964844
1776860416.23996,857,67.76000213623047
1776860436.3378098,866,67.66000366210938
1776860481.2253642,886,69.5999984741211
1776860606.6750617,942,70.75
1776860735.4330962,999,87.62000274658203
1776860771.5842764,1015,96.80999755859375
1776860796.4476502,1026,111.44999694824219
1776860821.4584248,1037,136.8000030517578
1776860864.4831665,1056,161.17999267578125
1776860898.3585372,1071,269.9700012207031
1776860911.7801976,1077,379.6499938964844
1776860983.4277828,1109,629.0900268554688
1776860987.9094055,1111,751.760009765625
1776861019.049086,1125,682.7100219726562
1776861034.743253,1132,658.2100219726562
1776861076.8433247,1151,661.2000122070312
1776861079.0392723,1152,716.3300170898438
1776861105.6055937,1164,636.4099731445312
1776861128.245526,1174,773.780029296875
1776861132.7423885,1176,715.5800170898438
1776861150.5356736,1184,704.7899780273438
1776861225.811887,1218,801.1300048828125
1776861301.1734867,1252,818.27001953125
1776861305.615935,1254,784.5700073242188
1776861312.3073492,1257,785.6300048828125
1776861321.166668,1261,789.3300170898438
1776861334.4043736,1267,737.2999877929688
1776861343.2075756,1271,802.5399780273438
