Wall time,Step,Value
1776858442.6919858,18,0.04539230465888977
1776858508.2878408,47,0.04197411984205246
1776858542.1670785,62,0.043599121272563934
1776858544.4149418,63,0.04327370226383209
1776858603.6355915,89,0.04696693271398544
1776858637.5787697,103,0.049313634634017944
1776858650.1415477,107,0.05040746554732323
1776858721.9316165,128,0.05834850296378136
1776858804.6959693,164,0.08302558958530426
1776858824.1400728,172,0.08752113580703735
1776858907.950604,191,0.09268244355916977
1776858935.3086975,203,0.098788782954216
1776859028.8837278,244,0.12774507701396942
1776859063.1070187,259,0.13440470397472382
1776859115.4382153,282,0.14766216278076172
1776859122.2686157,285,0.14685064554214478
1776859199.7884605,319,0.15788760781288147
1776859306.6805604,366,0.17805054783821106
1776859351.824731,386,0.1802356094121933
1776859388.269086,402,0.18091118335723877
1776859417.8035374,415,0.1825786530971527
1776859467.6968777,437,0.18422763049602509
1776859531.3938572,465,0.1831173300743103
1776859553.9791677,475,0.19334208965301514
1776859567.5795612,481,0.19787482917308807
1776859633.4273837,510,0.1957211196422577
1776859685.589673,533,0.1995326727628708
1776859696.9440978,538,0.20100268721580505
1776859701.4830523,540,0.200869619846344
1776859737.8442676,556,0.19833998382091522
1776859751.3600194,562,0.2026769369840622
1776859824.032167,594,0.21321314573287964
1776859828.5723639,596,0.21557168662548065
1776859921.733554,637,0.21547678112983704
1776859935.3217967,643,0.21970543265342712
1776859937.5760746,644,0.2184659093618393
1776859968.989216,658,0.2224833220243454
1776860007.470972,675,0.22099784016609192
1776860110.8715942,721,0.2342035472393036
1776860207.4845204,764,0.2365194410085678
1776860232.099684,775,0.2371577024459839
1776860297.1452408,804,0.24403521418571472
1776860416.234475,857,0.24183976650238037
1776860436.3320951,866,0.24769902229309082
1776860481.219292,886,0.2438620775938034
1776860606.6695507,942,0.25435176491737366
1776860735.4276316,999,0.3242459297180176
1776860771.578484,1015,0.3560503423213959
1776860796.440916,1026,0.404771089553833
1776860821.4528055,1037,0.4649706482887268
1776860864.4776,1056,0.6558437347412109
1776860898.3528507,1071,0.8746230006217957
1776860911.7746403,1077,1.3583946228027344
1776860983.421848,1109,2.2704520225524902
1776860987.9029799,1111,2.558286428451538
1776861019.0435507,1125,2.4854695796966553
1776861034.7375605,1132,2.2110531330108643
1776861076.8375452,1151,2.3749332427978516
1776861079.0333893,1152,2.514429807662964
1776861105.5993557,1164,2.3834657669067383
1776861128.239887,1174,2.6655125617980957
1776861132.7362766,1176,2.496997833251953
1776861150.529607,1184,2.4130032062530518
1776861225.806159,1218,2.8531453609466553
1776861301.167573,1252,2.934471845626831
1776861305.610387,1254,2.9616198539733887
1776861312.3010194,1257,2.7082700729370117
1776861321.1605575,1261,2.893979787826538
1776861334.3988495,1267,2.5848264694213867
1776861343.2009213,1271,2.9907779693603516
1776861462.7943923,1325,3.0326011180877686
1776861507.2667897,1345,2.8901729583740234
1776861573.7779577,1375,2.9431686401367188
1776861576.017523,1376,2.7292470932006836
1776861666.9977188,1417,2.681394577026367
1776861755.4857311,1457,3.104527235031128
1776861757.6761906,1458,2.854989767074585
1776861837.729901,1494,2.998107671737671
1776861855.4971318,1502,3.0394809246063232
1776861873.0788424,1510,3.1202826499938965
1776861879.6923833,1513,3.0708491802215576
1776861957.3180382,1548,3.0099287033081055
1776861963.9335127,1551,3.1571412086486816
1776861995.0111272,1565,3.1519312858581543
1776862001.6553266,1568,2.899552345275879
1776862039.3111308,1585,3.213773727416992
1776862063.638211,1596,3.231335401535034
1776862156.871761,1627,2.972890853881836
1776862174.490376,1635,3.0724868774414062
1776862252.0081346,1670,3.2763984203338623
1776862285.386977,1685,3.05360746383667
1776862323.1153624,1702,3.2157111167907715
1776862327.526831,1704,3.1121296882629395
1776862343.0245688,1711,3.287630081176758
1776862489.627518,1777,3.4455478191375732
1776862645.0310638,1847,3.3479838371276855
1776862673.7047694,1860,3.262317419052124
1776862689.3367474,1867,3.3130345344543457
1776862760.103937,1899,3.4688308238983154
1776862766.6967137,1902,3.4039759635925293
1776862782.2952802,1909,3.404453992843628
1776862850.895795,1940,3.520702362060547
1776862895.3113203,1960,3.6550586223602295
1776862897.5555153,1961,3.44378924369812
1776862937.4477932,1979,3.8041486740112305
1776863139.2715325,2070,3.4749183654785156
1776863159.1473572,2079,3.5140271186828613
1776863181.197595,2089,3.5143039226531982
1776863205.4846303,2100,3.4743213653564453
1776863447.4917688,2209,3.640946388244629
1776863514.03148,2239,3.6633429527282715
1776863691.6426132,2319,3.689243793487549
1776863780.2078497,2359,3.602735996246338
1776863857.6163204,2394,3.669480800628662
1776863950.6934245,2436,3.7454020977020264
1776863961.9088097,2441,3.5484113693237305
1776863990.6593523,2454,3.719785213470459
1776864008.3800185,2462,3.752870559692383
1776864015.0754335,2465,3.7447991371154785
1776864059.5082967,2485,3.7449309825897217
1776864099.4541779,2503,4.1084723472595215
1776864130.6490963,2517,4.25969123840332
1776864159.9187722,2530,4.154285430908203
1776864264.9826217,2577,4.215330600738525
1776864267.188247,2578,4.217404365539551
1776864313.9560788,2599,4.365657806396484
1776864376.5176282,2627,4.308318614959717
1776864394.4090705,2635,4.334369659423828
1776864412.3106327,2643,4.312100410461426
1776864504.0613556,2684,4.127627849578857
1776864524.2681618,2693,4.159817218780518
1776864557.9207294,2708,4.223854064941406
1776864578.1371737,2717,4.300373077392578
1776864616.2495186,2734,4.07681941986084
1776864629.6670494,2740,4.137459754943848
1776864658.8595688,2753,4.149291515350342
1776864661.088535,2754,4.3018670082092285
1776864663.3092372,2755,4.101718902587891
1776864685.6195266,2765,4.158702850341797
1776864692.316809,2768,4.247509479522705
1776864730.183839,2785,4.258939266204834
1776864790.824917,2812,4.076941013336182
1776864840.0781612,2834,4.081325054168701
1776864862.5745568,2844,4.195775985717773
1776864900.7263298,2861,4.02498722076416
1776865035.2353308,2921,3.665329694747925
1776865104.7034576,2952,3.6233882904052734
1776865111.4143977,2955,4.066258430480957
1776865127.1564364,2962,3.8128395080566406
1776865151.9650981,2973,3.8576819896698
1776865289.257335,3034,3.7557339668273926
1776865399.655203,3083,3.6762304306030273
1776865401.9070735,3084,3.727914333343506
1776865444.7208786,3103,3.824171543121338
1776865446.983522,3104,3.653078079223633
1776865449.278943,3105,3.746708631515503
1776865482.8995004,3120,3.5534865856170654
1776865539.1004052,3145,3.707836627960205
1776865601.9191868,3173,3.5933146476745605
1776865644.6888154,3192,3.6656765937805176
1776865660.569673,3199,3.730844259262085
1776865701.0274649,3217,3.758016347885132
1776865707.7262921,3220,3.742166042327881
1776865754.9965901,3241,3.6688618659973145
1776865808.7717962,3265,3.665405750274658
1776865815.5398479,3268,3.622638463973999
1776865900.9021058,3306,3.458998441696167
1776865977.1631424,3340,3.7092881202697754
1776866012.9906845,3356,3.603092908859253
1776866120.568508,3404,3.6480202674865723
1776866248.5044734,3461,3.6700682640075684
1776866298.0606782,3483,3.6283388137817383
1776866300.2899086,3484,3.711839199066162
1776866315.8725746,3491,3.7648134231567383
1776866336.166055,3500,3.7578296661376953
1776866394.495056,3526,3.7158732414245605
1776866484.3674521,3566,3.5044429302215576
1776866491.1424148,3569,3.786457061767578
1776866561.0078478,3600,3.506272077560425
1776866596.9712453,3616,3.693286657333374
1776866682.2675989,3654,3.7663352489471436
1776866688.9915347,3657,3.8199286460876465
1776866693.556149,3659,3.701901435852051
1776866698.070885,3661,3.700018882751465
1776866704.8610494,3664,3.6690919399261475
1776866713.7924495,3668,3.4777865409851074
1776866720.5915198,3671,3.7753190994262695
1776866763.3150759,3690,3.619929075241089
1776866812.8579657,3712,3.823598623275757
1776866923.2007048,3761,3.7537734508514404
1776866970.2809677,3782,3.8276050090789795
1776867118.800216,3848,3.83416748046875
1776867123.2694256,3850,3.8102433681488037
1776867165.8034406,3869,3.8182272911071777
1776867239.668726,3902,3.7918267250061035
1776867259.7553928,3911,3.8869948387145996
1776867268.6639326,3915,3.5856833457946777
1776867282.0901706,3921,3.751088857650757
1776867309.1345336,3933,3.669214963912964
1776867315.8858142,3936,3.8098483085632324
1776867403.4900632,3975,3.7801597118377686
1776867486.6281707,4012,3.8947362899780273
1776867491.1196566,4014,3.830932140350342
1776867511.343673,4023,3.714716911315918
1776867536.1003015,4034,3.7392101287841797
1776867549.6470165,4040,3.7127082347869873
1776867565.441087,4047,3.8000755310058594
1776867648.3823228,4084,3.6851625442504883
1776867704.5803854,4109,3.7316417694091797
1776867717.996562,4115,3.70941162109375
1776867731.4418428,4121,3.610963821411133
1776867738.1825461,4124,3.8414926528930664
1776867787.5817075,4146,3.7892167568206787
1776867866.276573,4181,3.8901565074920654
1776867890.9556656,4192,3.9287800788879395
1776867969.5605254,4227,3.8385162353515625
1776868036.889851,4257,3.873844861984253
1776868173.7525163,4318,3.904831647872925
1776868196.3086085,4328,3.876016616821289
1776868346.6681035,4395,3.97273588180542
1776868454.7523518,4443,3.834895610809326
1776868479.5776331,4454,3.6977062225341797
1776868638.6343324,4525,3.6904447078704834
1776868661.021836,4535,3.9793701171875
1776868669.9960613,4539,3.699967384338379
1776868726.0996807,4564,3.9055230617523193
1776868826.932467,4609,3.9389312267303467
1776868833.6211412,4612,3.843884229660034
1776868916.4355736,4649,3.8800039291381836
1776868999.6931689,4686,3.8073205947875977
1776869008.7070248,4690,3.8557281494140625
1776869013.2149107,4692,3.896981716156006
1776869026.6249099,4698,3.883427619934082
1776869046.812583,4707,3.889479160308838
1776869098.452143,4730,3.8301620483398438
1776869114.20922,4737,3.9765353202819824
1776869201.8878121,4776,3.8577423095703125
1776869204.1674554,4777,3.9146389961242676
1776869271.5376656,4807,3.97139310836792
1776869323.2827117,4830,4.008384704589844
1776869327.8335962,4832,3.851271390914917
1776869334.593468,4835,3.954394817352295
1776869336.8176005,4836,3.823061943054199
1776869354.7708793,4844,3.904200315475464
1776869440.4432912,4882,3.8916125297546387
1776869503.6693585,4910,3.925621509552002
1776869546.4337933,4929,3.9378795623779297
1776869571.232475,4940,3.931807041168213
1776869591.4955163,4949,3.943966865539551
1776869661.515587,4980,3.944467544555664
1776869686.3226311,4991,3.94848895072937
1776869811.827789,5047,3.9489505290985107
1776869854.7741997,5066,3.87941837310791
1776869883.8853402,5079,3.8722782135009766
1776869904.1354504,5088,3.9825477600097656
1776869908.617259,5090,3.914702892303467
1776870002.8293514,5132,3.8996341228485107
1776870011.7771084,5136,3.9618186950683594
1776870020.7723863,5140,3.825443983078003
1776870045.620571,5151,3.9631404876708984
1776870052.2868505,5154,3.956347942352295
1776870054.5200777,5155,4.029824733734131
1776870126.6846514,5187,3.81980562210083
1776870155.8434877,5200,3.868678569793701
1776870196.256149,5218,3.8749451637268066
1776870211.91464,5225,3.98301100730896
1776870241.1850212,5238,3.923884868621826
1776870274.9127357,5253,3.9320285320281982
1776870295.1669745,5262,3.9739255905151367
1776870301.9989822,5265,3.9961910247802734
1776870369.5246558,5295,3.834486722946167
1776870423.6103094,5319,3.945504665374756
1776870430.3806176,5322,3.9889888763427734
1776870434.845171,5324,3.8807125091552734
1776870443.769023,5328,3.9107701778411865
1776870520.173855,5362,3.8311820030212402
1776870538.065224,5370,3.9298038482666016
1776870612.129716,5403,3.9759697914123535
1776870706.729589,5445,3.876628875732422
1776870727.0582404,5454,3.917860507965088
1776870738.214049,5459,4.038888931274414
1776870839.2237003,5504,3.8850715160369873
1776870850.5590708,5509,4.004904747009277
1776870877.495741,5521,3.9154410362243652
1776870981.482183,5567,3.9860944747924805
1776871206.413108,5667,3.925774335861206
1776871347.9890447,5730,3.9465084075927734
1776871411.096177,5758,4.010050296783447
1776871462.985818,5781,3.8718020915985107
1776871577.7987673,5832,3.9568395614624023
1776871654.1353967,5866,3.862548589706421
1776871683.3303926,5879,4.029088020324707
1776871838.7361274,5948,4.007669448852539
1776871856.6348293,5956,3.983734607696533
1776871874.5780973,5964,3.963189125061035
1776871913.0095518,5981,3.9289894104003906
1776871949.2244704,5997,3.989989995956421
1776871976.3538697,6009,3.8171088695526123
