Wall time,Step,Value
1776858442.692541,18,0.1298835277557373
1776858508.2884688,47,0.13130205869674683
1776858542.167638,62,0.14030447602272034
1776858544.4154894,63,0.14156824350357056
1776858603.6361983,89,0.1568204164505005
1776858637.5809717,103,0.16499342024326324
1776858650.1423059,107,0.16767197847366333
1776858721.9321783,128,0.19536267220973969
1776858804.6965196,164,0.29705917835235596
1776858824.1408124,172,0.3165389597415924
1776858907.9511788,191,0.3654148578643799
1776858935.3094454,203,0.3930940330028534
1776859028.8843386,244,0.49547478556632996
1776859063.107573,259,0.5331286191940308
1776859115.4388146,282,0.595224916934967
1776859122.2693334,285,0.5926854610443115
1776859199.789072,319,0.6447911262512207
1776859306.6813803,366,0.6912152767181396
1776859351.825391,386,0.7086499929428101
1776859388.2696426,402,0.7330424189567566
1776859417.804221,415,0.7198951244354248
1776859467.6976218,437,0.7473149299621582
1776859531.3946137,465,0.7603455781936646
1776859553.9797137,475,0.7972618937492371
1776859567.5801022,481,0.7819480299949646
1776859633.4280965,510,0.7983416318893433
1776859685.5902321,533,0.8246870040893555
1776859696.9447236,538,0.8262230157852173
1776859701.4838483,540,0.8268647193908691
1776859737.8448563,556,0.8453344702720642
1776859751.3607461,562,0.851493239402771
1776859824.0327141,594,0.8525406718254089
1776859828.573008,596,0.8659049868583679
1776859921.734099,637,0.848883330821991
1776859935.3225183,643,0.8538459539413452
1776859937.5766232,644,0.8467904925346375
1776859968.9897938,658,0.8639885187149048
1776860007.471863,675,0.8825052976608276
1776860110.872132,721,0.9212344884872437
1776860207.4851043,764,0.9410750269889832
1776860232.1002603,775,0.9424532651901245
1776860297.1463156,804,0.9824830293655396
1776860416.2350318,857,1.0028530359268188
1776860436.3327355,866,1.025782585144043
1776860481.2199664,886,1.040290355682373
1776860606.6701055,942,1.0327471494674683
1776860735.4281814,999,1.1073613166809082
1776860771.5791624,1015,1.2912020683288574
1776860796.4418523,1026,1.5164546966552734
1776860821.45336,1037,1.729522466659546
1776860864.4781718,1056,2.3785905838012695
1776860898.3534954,1071,3.280832290649414
1776860911.7752218,1077,5.350691795349121
1776860983.4226868,1109,9.368979454040527
1776860987.9044008,1111,10.714414596557617
1776861019.0441597,1125,10.514151573181152
1776861034.738209,1132,9.463489532470703
1776861076.838205,1151,10.524435043334961
1776861079.034072,1152,11.105830192565918
1776861105.6001081,1164,10.623346328735352
1776861128.240582,1174,11.971537590026855
1776861132.7371085,1176,11.149744033813477
1776861150.530308,1184,10.991869926452637
1776861225.8069437,1218,12.879512786865234
1776861301.1682453,1252,13.661039352416992
1776861305.6109853,1254,13.5960693359375
1776861312.3019462,1257,12.625396728515625
1776861321.1611152,1261,13.220539093017578
1776861334.3993914,1267,11.936923027038574
1776861343.2015903,1271,13.671950340270996
1776861462.7950788,1325,14.269660949707031
1776861507.2674809,1345,13.847259521484375
1776861573.77869,1375,14.056341171264648
1776861576.018155,1376,13.052245140075684
1776861666.9983866,1417,12.938505172729492
1776861755.4863183,1457,14.994361877441406
1776861757.6767933,1458,13.73182201385498
1776861837.7304747,1494,14.36265754699707
1776861855.4980047,1502,14.565801620483398
1776861873.0796406,1510,14.999906539916992
1776861879.6930819,1513,15.085535049438477
1776861957.3187032,1548,14.43515682220459
1776861963.9341335,1551,15.059782028198242
1776861995.012025,1565,15.114238739013672
1776862001.655931,1568,14.121557235717773
1776862039.31201,1585,15.167903900146484
1776862063.6388712,1596,15.092041015625
1776862156.8724768,1627,14.170482635498047
1776862174.4910061,1635,14.545888900756836
1776862252.0090685,1670,15.466357231140137
1776862285.3876874,1685,14.404369354248047
1776862323.116055,1702,14.953250885009766
1776862327.5276241,1704,14.505420684814453
1776862343.0252395,1711,15.228716850280762
1776862489.628077,1777,15.774459838867188
1776862645.031614,1847,15.20875358581543
1776862673.705343,1860,14.764596939086914
1776862689.3373103,1867,14.995437622070312
1776862760.1044989,1899,15.56006908416748
1776862766.6972597,1902,15.249414443969727
1776862782.2959962,1909,15.265935897827148
1776862850.896465,1940,15.706968307495117
1776862895.311934,1960,16.309507369995117
1776862897.5561984,1961,15.346630096435547
1776862937.448707,1979,16.95636558532715
1776863139.2721696,2070,15.434486389160156
1776863159.1480587,2079,15.61319351196289
1776863181.1981504,2089,15.61810302734375
1776863205.4852436,2100,15.506789207458496
1776863447.49246,2209,16.229869842529297
1776863514.0321665,2239,16.181739807128906
1776863691.643221,2319,16.324752807617188
1776863780.208758,2359,16.006534576416016
1776863857.6169178,2394,16.245769500732422
1776863950.6940007,2436,16.532554626464844
1776863961.9096904,2441,15.69239330291748
1776863990.6599915,2454,16.40968132019043
1776864008.3805742,2462,16.579341888427734
1776864015.0760314,2465,16.55133819580078
1776864059.5089154,2485,16.472448348999023
1776864099.4547265,2503,17.509567260742188
1776864130.6499052,2517,15.317327499389648
1776864159.9195533,2530,12.517036437988281
1776864264.983498,2577,10.687019348144531
1776864267.1889186,2578,10.692731857299805
1776864313.956881,2599,11.091419219970703
1776864376.518421,2627,10.941046714782715
1776864394.4098814,2635,10.980148315429688
1776864412.3112578,2643,10.889060974121094
1776864504.0619984,2684,10.404696464538574
1776864524.2687142,2693,10.475024223327637
1776864557.9213734,2708,10.687877655029297
1776864578.1377726,2717,10.822558403015137
1776864616.2504406,2734,10.245747566223145
1776864629.6678956,2740,10.47641372680664
1776864658.8602412,2753,10.462068557739258
1776864661.089109,2754,10.893041610717773
1776864663.3100271,2755,10.333423614501953
1776864685.6201782,2765,10.538284301757812
1776864692.3174417,2768,10.768526077270508
1776864730.184494,2785,10.758171081542969
1776864790.8257332,2812,10.334267616271973
1776864840.0787833,2834,10.371241569519043
1776864862.5751371,2844,10.645770072937012
1776864900.7270484,2861,10.280055046081543
1776865035.2360137,2921,9.423847198486328
1776865104.704055,2952,9.359906196594238
1776865111.4149635,2955,10.504138946533203
1776865127.1571426,2962,9.938661575317383
1776865151.9656556,2973,9.994508743286133
1776865289.2580023,3034,9.879764556884766
1776865399.6561794,3083,9.910848617553711
1776865401.9077528,3084,9.988314628601074
1776865444.7215774,3103,10.342327117919922
1776865446.984204,3104,9.762693405151367
1776865449.2795997,3105,9.98443603515625
1776865482.9001508,3120,9.409454345703125
1776865539.1009567,3145,10.005878448486328
1776865601.9198782,3173,9.843031883239746
1776865644.6895437,3192,10.077686309814453
1776865660.570403,3199,10.209494590759277
1776865701.0280707,3217,10.17597484588623
1776865707.726839,3220,10.329606056213379
1776865754.9972363,3241,10.051365852355957
1776865808.772479,3265,10.026269912719727
1776865815.5405488,3268,9.99567985534668
1776865900.9029024,3306,9.545883178710938
1776865977.163698,3340,10.28565788269043
1776866012.991501,3356,10.042466163635254
1776866120.5690832,3404,9.94482421875
1776866248.50505,3461,10.165489196777344
1776866298.0612967,3483,9.875646591186523
1776866300.2905612,3484,10.25102424621582
1776866315.8732784,3491,10.237485885620117
1776866336.1665967,3500,10.354138374328613
1776866394.495597,3526,10.063358306884766
1776866484.3681083,3566,9.831326484680176
1776866491.142982,3569,10.455324172973633
1776866561.0085547,3600,9.572858810424805
1776866596.9718041,3616,10.264303207397461
1776866682.2682588,3654,10.279861450195312
1776866688.992091,3657,10.364238739013672
1776866693.5570304,3659,10.257868766784668
1776866698.0715258,3661,10.142820358276367
1776866704.8615882,3664,10.027179718017578
1776866713.7931042,3668,9.637367248535156
1776866720.5922244,3671,10.39931869506836
1776866763.315902,3690,10.023882865905762
1776866812.8586223,3712,10.476670265197754
1776866923.2013516,3761,10.280221939086914
1776866970.281721,3782,10.491179466247559
1776867118.801297,3848,10.329034805297852
1776867123.2701137,3850,10.356334686279297
